transcript_AGPv2,Root,Leaf,Stem,Imm_Tassel,Meiotic_Tassel,Anthers,Cob,Seed,Endosperm
KAKU4A,36.92,134.79,75.06,281.45,108.98,70.67,282.2,44.51,7.34
KAKU4B,32.53,109.41,79.01,205.14,85.97,54.46,251.91,55.86,26.84
MLKp1,1,1,1,1,1,1,1,1,1
MLKp2,1,1,19.34,3.19,1.52,1,11.39,1,0.94
MLKp3,3.77,1,12.76,11.31,1.99,11.49,11.49,6.1,17.85
MLKp4,12.8,2.42,81.04,100.47,4.88,1,98.92,33.25,71.31
MLKp5,21.56,10,11.29,17.91,40.66,9.82,19.19,24.19,14.63
MLKp6,103.24,48.44,74.67,76.31,56.4,47.63,43.77,95.42,150.15
MLKp7,77.42,40.64,52.9,82.32,52.14,36.53,64.29,95.32,148.47
MLkp8,27.76,23.01,15.04,19.79,52.14,34.96,26.95,44.96,21.4
MLKt1,12.14,19.94,26.42,45.73,33.84,27.69,54.18,53.27,69.17
MLKt2,45.08,24.64,50.8,54.75,38.24,28.99,51,33.26,38.97
NCH1,115.75,107.67,112.8,228.11,98.47,67.37,238.65,121.78,225.66
NCH2,69.18,125.82,81.16,146.45,118.79,73.2,190.45,85.2,117.54
NEAP1A,9.88,9.89,40.09,75.45,3.65,3.05,85.45,38.75,84.22
NEAP1B,1.82,0.01,1.09,0.31,0.27,1,0.71,0.02,1.22
SUN1,104.11,96.09,96.14,121.84,86.79,120.24,121.99,99.81,120.71
SUN2,117.17,90.1,89.26,147.82,96.72,90.84,147.64,149.61,267.63
SUN4,58.32,21.34,20.22,15.28,31,12.51,13.94,38.78,46.79
SUN5,1,1,1,1,1,507.63,1,1,1
